City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
330,Santa Cruz,BO,84.2,-17.8,-63.17,Hotel Cortez
334,Roswell,US,69.01,34.02,-84.36,La Quinta Inn & Suites by Wyndham Atlanta Roswell
335,Pontianak,ID,82.87,-0.03,109.33,Aston Pontianak Hotel & Convention Center
336,Gamba,GA,76.32,-2.65,10.0,
337,Brownsville,US,80.6,25.9,-97.5,Hotel Alameda Express
338,Kinkala,CG,71.78,-4.36,14.76,Hotel la Vernande
342,Vao,NC,72.97,-22.67,167.48,Hotel Kou-Bugny
347,Elat,IL,77.0,29.56,34.95,Club Hotel Eilat
348,Trinidad,BO,82.35,-14.83,-64.9,Hotel Piesta
350,Senhor Do Bonfim,BR,76.08,-10.46,-40.19,HOTEL VITÓRIA - Sr.do Bonfim/BA
351,Port Blair,IN,79.83,11.67,92.75,Fortune Resort Bay Island
352,Machinga,MW,70.14,-15.17,35.3,
353,Ouallam,NE,82.51,14.32,2.09,
355,China,MX,81.81,25.7,-99.23,Hotel Viajero
357,Ngunguru,NZ,65.28,-35.62,174.5,Pacific Rendezvous Motel Resort
358,Gat,IL,73.0,31.61,34.76,OlusHome
359,Rocha,UY,66.02,-34.48,-54.33,Beleza Pura B&B
363,Banda Aceh,ID,81.52,5.56,95.32,OYO 884 Rumoh PMI Hotel
364,Birao,CF,74.03,10.28,22.79,
369,Yuncheng,CN,65.5,35.02,110.99,晋州快捷酒店
371,Wanning,CN,78.13,18.8,110.4,Paradise Hotel
377,Vila Velha,BR,71.6,-20.33,-40.29,Hotel Vitória Palace
379,Lavumisa,SZ,69.13,-27.31,31.89,ROADSIDE B&B
380,Pochutla,MX,81.0,15.74,-96.47,Hotel Posada San Jose
381,Ejido,VE,67.93,8.55,-71.24,Bora Bora Nails & Spa C.A.
382,Port Maria,JM,75.0,18.37,-76.89,Galina Breeze Hotel
383,Bilma,NE,70.2,18.69,12.92,Expeditions Ténére voyages
388,Dori,BF,80.37,14.04,-0.03,Oasis Annexe
391,Harper,LR,77.67,4.38,-7.72,Screensaver
392,Poum,NC,77.22,-20.23,164.02,Gîte kajeon
395,Ribeira Grande,PT,65.57,38.52,-28.7,Quinta da Meia Eira
396,Cidreira,BR,69.62,-30.18,-50.21,Hotel Castelo
397,Surt,LY,71.19,31.21,16.59,City Hotel
399,Jaleswar,NP,72.52,26.65,85.8,Sundar Mobile Repairing Centre
400,Dongargaon,IN,68.7,20.97,80.85,Santoshi Hotel
406,Kulhudhuffushi,MV,81.97,6.62,73.07,Haajy Guest House 1
407,Pangai,TO,77.0,-19.8,-174.35,Ha'apai Beach Resort
410,Rucheng,CN,69.01,32.39,120.56,Vienna Hotel Rugao Zhengxiang Square
415,Camargo,MX,78.4,27.67,-105.17,Hotel Santa Fe
421,Orocue,CO,78.31,4.79,-71.34,Hotel Brisas de San Miguel
422,Chateaubelair,VC,82.4,13.28,-61.25,Richmond Vale Diving & Hiking Center
427,Gurmatkal,IN,71.55,16.87,77.4,Patange Enterprises
428,Monteagudo,BO,75.9,-19.82,-63.98,"Residencial ""OLIVIA"""
431,Faanui,PF,79.86,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
437,Ayorou,NE,83.48,14.73,0.92,Hotel Amenokal
442,Bubaque,GW,83.39,11.28,-15.83,"Casa Dora, Bubaque"
444,Karratha,AU,80.19,-20.74,116.85,ibis Styles Karratha
445,Loreto,MX,68.49,22.27,-101.97,José de Jesús Velásquez mora
448,Port Macquarie,AU,80.01,-31.43,152.92,Rydges Port Macquarie
450,Havelock,US,69.01,34.88,-76.9,Sherwood Motel
456,Ambilobe,MG,68.47,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
458,Conakry,GN,80.35,9.54,-13.68,Riviera Royal Hotel
460,Hervey Bay,AU,84.99,-25.3,152.85,Shelly Bay Resort
462,Sola,VU,84.2,-13.88,167.55,Ulkel Guest House
463,Muli,MV,81.99,2.92,73.57,Medhufushi Island Resort
464,Bandarbeyla,SO,74.35,9.49,50.81,REER XOOSHLE GROUP
467,Le Port,RE,73.4,-20.94,55.29,Villa Maido
468,Tabuk,PH,78.91,17.42,121.44,Grand Zion Garden Resort Hotel
471,Sao Miguel Do Araguaia,BR,76.66,-13.28,-50.16,Hotel Executivo Palace
472,Tukrah,LY,70.09,32.53,20.58,استراحة لاقروتا
473,Bengkulu,ID,76.24,-3.8,102.27,Grage Hotel Bengkulu
475,Jacareacanga,BR,78.01,-6.22,-57.75,Casa do Ian😎
477,Bouna,CI,74.5,9.27,-3.0,Hotel Reserve
478,Sinnamary,GF,80.31,5.38,-52.95,ALETHEIA Appartement Sinnamary
479,El Paujil,CO,73.9,1.57,-75.33,Hostal La Reina
